UE1vsUE2,acc_all,acc_x,acc_y,acc_z,gyro_all,gyro_x,gyro_y,gyro_z,on_same,UE3vsUE4,UE1vsUE3,UE2vsUE3
0,0.002732817640922063,12.816422766498224,0.06072086435402053,0.0027573977448802586,5.191743417240924,4.160663819561298,2.5363796041465188,0.1722604036436679,0.0,0,0,1.0
1.0,0.0063416429725105805,0.009610127410438398,0.3243377115442969,0.007093040920517014,0.6259237126190579,0.8209756409968808,0.0017047085448655352,0.000695203893615852,1.0,0,0,0
0,0.45471258613986837,0.6940182241549431,0.1304054962115874,0.0036863021600998538,0.11357016322589836,8.13565449138992,4.219078366782511,1.619370609836513,1.0,1.0,0,0
0,0.036289367031507876,1.7051472143661337,0.35570774253840054,0.026251298287484726,2.3263474258651073,12.344857068447029,4.102290389748917,14.017329305212336,0.0,0,1.0,0
0,0.020393608376110203,1.8456303091279422,0.16976268536253247,0.012258210275210759,0.4398917168439103,4.113774532226653,4.114902197905482,13.712207019248499,0.0,0,0,1.0
1.0,0.013955826609008229,0.02874873441473159,51.35548940066186,0.020678478119161285,0.19595304135424074,0.0424408127138002,0.015709793914616438,3.450512272174941e-05,1.0,0,0,0
0,0.0027325848229669708,1.7070476478414074,1.2329379267340497,0.025142965880464035,0.20015485411096023,4.498436113721057,172.8679192980203,49.131552126064484,1.0,1.0,0,0
0,0.012222928514638324,1.41382417030083,0.4844997740107528,0.011100431892326679,0.4136348179313686,0.3869733435494691,34.472833544623235,0.08668926350081424,0.0,0,1.0,0
0,0.018604136418433167,1.044567157817737,28.08152890575355,0.022404881410230643,1.0780531286475716,0.24096352058048884,34.560369103729194,0.08341886678465825,0.0,0,0,1.0
1.0,0.012664805677209456,0.22025819979674766,9.239784163290887,0.021557454357876014,0.18227062008322803,0.0028851623567394923,0.8024519273718025,1.9966466689480756e-05,1.0,0,0,0
0,0.001540340710379859,1.048264962314738,1.305510352569132,0.23178690916179737,0.08657889720610057,0.5380480569955274,1.3642857536265298,2.524452246792543,1.0,1.0,0,0
0,0.013682138555078577,0.5197075940523658,0.32333784554290845,0.025130999580558533,0.2039639516874612,0.17942765981194467,7.2683634995834225,5.847651235311483,0.0,0,1.0,0
0,0.0031656294136924693,1.0602618566758097,5.149411188492669,0.004035763958167184,0.028076290290883862,0.17268153701801525,19.809305080897865,5.85700294848372,0.0,0,0,1.0
1.0,0.010399735274602842,0.14308901656434028,1.4944907089849893,0.02035866029381279,0.03330098420645108,0.16042967510503572,0.0029818776521434416,0.015618382546775925,1.0,0,0,0
0,0.002730055338830002,0.9618673848235213,0.502157499061627,0.4674209789780833,0.5782003811121614,6.3351348943604,7.737329451802544,5.602899643252362,1.0,1.0,0,0
0,0.017927566499844824,0.20068544987132145,0.049984455666006664,0.029783355323080792,0.224317244406893,0.16522043851082854,2.246721007009055,0.29364682170457806,0.0,0,1.0,0
0,0.004664201682458523,0.14281811554410373,1.273885752985245,0.004876721926399867,0.39746667644244404,0.15664803403986993,2.086976743130965,0.4474664622971892,0.0,0,0,1.0
