date,time,UE2_acc_x,UE2_acc_y,UE2_acc_z
2018-12-13,04:28:04.701,0.31483459999999996,1.6787261999999998,9.661926
2018-12-13,04:28:04.720,0.32919312,1.7026671999999998,9.738541
2018-12-13,04:28:04.740,0.33398438,1.7098388999999998,9.755295
2018-12-13,04:28:04.760,0.30046082,1.6930846999999998,9.676285
2018-12-13,04:28:04.780,0.25257874,1.6691436999999998,9.6475525
2018-12-13,04:28:04.800,0.25257874,1.5781708,9.762482
2018-12-13,04:28:04.819,0.25257874,1.5422516000000002,9.870224
2018-12-13,04:28:04.839,0.24539185,1.5685883,9.85585
2018-12-13,04:28:04.859,0.24060059,1.5973206,9.736145
2018-12-13,04:28:04.884,0.25257874,1.6068878,9.628403
2018-12-13,04:28:04.899,0.28131104,1.6092833999999998,9.597275
2018-12-13,04:28:04.918,0.30046082,1.5542296999999998,9.640381
2018-12-13,04:28:04.937,0.30525208,1.4871826000000001,9.604462
2018-12-13,04:28:04.957,0.32919312,1.4823913999999998,9.5877075
2018-12-13,04:28:04.977,0.33158875,1.508728,9.630798
2018-12-13,04:28:04.997,0.2861023,1.5111237,9.628403
2018-12-13,04:28:05.016,0.27412415,1.508728,9.657135
2018-12-13,04:28:05.036,0.27172852,1.5542296999999998,9.690659
2018-12-13,04:28:05.056,0.2861023,1.5877379999999999,9.719375999999999
2018-12-13,04:28:05.077,0.23582458,1.5685883,9.752899000000001
2018-12-13,04:28:05.095,0.20469666,1.5470428,9.788818
2018-12-13,04:28:05.115,0.24060059,1.539856,9.77684
2018-12-13,04:28:05.134,0.25257874,1.5637969999999999,9.748108
2018-12-13,04:28:05.153,0.27172852,1.5590057,9.77684
2018-12-13,04:28:05.173,0.2861023,1.5350647,9.79599
2018-12-13,04:28:05.193,0.29806520000000003,1.5470428,9.731354
2018-12-13,04:28:05.213,0.31004333,1.539856,9.69783
2018-12-13,04:28:05.232,0.29806520000000003,1.5326691000000001,9.681076
2018-12-13,04:28:05.253,0.2861023,1.5111237,9.649948
2018-12-13,04:28:05.273,0.31004333,1.4752197,9.705017
2018-12-13,04:28:05.293,0.27651978,1.4704285,9.685867
2018-12-13,04:28:05.312,0.23582458,1.4919738999999999,9.673888999999999
2018-12-13,04:28:05.333,0.22384644,1.4656372,9.743332
2018-12-13,04:28:05.352,0.26454163,1.453659,9.774445
2018-12-13,04:28:05.372,0.27412415,1.4273223999999998,9.784027
2018-12-13,04:28:05.391,0.27891540000000004,1.4105682,9.719375999999999
2018-12-13,04:28:05.412,0.2861023,1.4177551000000002,9.700225999999999
2018-12-13,04:28:05.431,0.2861023,1.424942,9.752899000000001
2018-12-13,04:28:05.452,0.35552979999999995,1.4369048999999998,9.750504
2018-12-13,04:28:05.470,0.38186646,1.453659,9.702621
2018-12-13,04:28:05.490,0.3651123,1.4680328,9.635589999999999
2018-12-13,04:28:05.509,0.3770752,1.4680328,9.597275
2018-12-13,04:28:05.529,0.34355164,1.4632416000000001,9.640381
2018-12-13,04:28:05.551,0.33158875,1.4369048999999998,9.724167
2018-12-13,04:28:05.568,0.3483429,1.4440918,9.709808
2018-12-13,04:28:05.588,0.35313416,1.4656372,9.690659
2018-12-13,04:28:05.608,0.34355164,1.4680328,9.702621
2018-12-13,04:28:05.628,0.36749268,1.4273223999999998,9.719375999999999
2018-12-13,04:28:05.647,0.38186646,1.405777,9.8055725
2018-12-13,04:28:05.763,0.3483429,1.3914185,9.807967999999999
2018-12-13,04:28:05.764,0.3076477,1.3554993,9.851059
2018-12-13,04:28:05.765,0.37228394,1.4201508,9.851059
2018-12-13,04:28:05.765,0.38186646,1.4656372,9.75769
2018-12-13,04:28:05.766,0.36271667,1.4776154,9.693039
2018-12-13,04:28:05.766,0.36271667,1.4919738999999999,9.633194
2018-12-13,04:28:05.789,0.35552979999999995,1.4799957000000001,9.551788
2018-12-13,04:28:05.805,0.35313416,1.448883,9.621216
2018-12-13,04:28:05.824,0.39622498,1.453659,9.681076
2018-12-13,04:28:05.845,0.38186646,1.4584503,9.6475525
2018-12-13,04:28:05.867,0.31721497,1.4512787,9.637985
2018-12-13,04:28:05.885,0.26216125,1.4321136,9.683472
2018-12-13,04:28:05.905,0.28131104,1.4512787,9.75769
2018-12-13,04:28:05.925,0.30285645,1.4656372,9.719375999999999
2018-12-13,04:28:05.944,0.28131104,1.4752197,9.671494000000001
2018-12-13,04:28:05.966,0.25737,1.4393004999999999,9.745712
2018-12-13,04:28:05.984,0.26454163,1.4369048999999998,9.839096000000001
2018-12-13,04:28:06.003,0.29806520000000003,1.4823913999999998,9.834305
2018-12-13,04:28:06.024,0.28131104,1.4799957000000001,9.8055725
2018-12-13,04:28:06.043,0.24299622,1.448883,9.827117999999999
2018-12-13,04:28:06.063,0.23103333,1.3914185,9.886978
2018-12-13,04:28:06.086,0.2501831,1.3602905,9.942047
2018-12-13,04:28:06.102,0.27412415,1.4153594999999999,9.824722
2018-12-13,04:28:06.122,0.28370667,1.4728241000000002,9.661926
2018-12-13,04:28:06.141,0.28849792,1.4895782,9.575728999999999
2018-12-13,04:28:06.161,0.28370667,1.4632416000000001,9.5685425
2018-12-13,04:28:06.183,0.27172852,1.4464874,9.640381
2018-12-13,04:28:06.201,0.2501831,1.4153594999999999,9.657135
2018-12-13,04:28:06.220,0.23820496,1.3866272,9.673888999999999
2018-12-13,04:28:06.241,0.24778748,1.4033813,9.7146
2018-12-13,04:28:06.260,0.23103333,1.4393004999999999,9.731354
2018-12-13,04:28:06.280,0.18554688,1.453659,9.760086
2018-12-13,04:28:06.302,0.25257874,1.4728241000000002,9.760086
2018-12-13,04:28:06.319,0.29806520000000003,1.4943695,9.690659
2018-12-13,04:28:06.339,0.30046082,1.448883,9.700225999999999
2018-12-13,04:28:06.359,0.32919312,1.4081726,9.79599
2018-12-13,04:28:06.379,0.35552979999999995,1.4105682,9.800781
2018-12-13,04:28:06.399,0.33877563,1.453659,9.681076
2018-12-13,04:28:06.418,0.31004333,1.508728,9.604462
2018-12-13,04:28:06.438,0.30046082,1.5231018,9.649948
2018-12-13,04:28:06.457,0.26454163,1.5111237,9.669098
2018-12-13,04:28:06.478,0.25497437,1.4776154,9.676285
2018-12-13,04:28:06.501,0.28370667,1.484787,9.709808
2018-12-13,04:28:06.517,0.31483459999999996,1.4967651000000002,9.695435
2018-12-13,04:28:06.536,0.30525208,1.4967651000000002,9.67868
2018-12-13,04:28:06.557,0.3076477,1.4823913999999998,9.659531
2018-12-13,04:28:06.576,0.3267975,1.4728241000000002,9.700225999999999
2018-12-13,04:28:06.595,0.33158875,1.448883,9.793610000000001
2018-12-13,04:28:06.617,0.35313416,1.4680328,9.736145
2018-12-13,04:28:06.634,0.35313416,1.5135193,9.626007000000001
2018-12-13,04:28:06.654,0.37228394,1.5326691000000001,9.585312
2018-12-13,04:28:06.674,0.35552979999999995,1.5111237,9.671494000000001
2018-12-13,04:28:06.694,0.33877563,1.4776154,9.774445
2018-12-13,04:28:06.714,0.36032104,1.4943695,9.733749000000001
2018-12-13,04:28:06.733,0.35313416,1.539856,9.654739
2018-12-13,04:28:06.754,0.34594727,1.5470428,9.635589999999999
2018-12-13,04:28:06.774,0.33638,1.5063323999999998,9.683472
2018-12-13,04:28:06.793,0.31961059999999997,1.4823913999999998,9.676285
2018-12-13,04:28:06.813,0.30285645,1.4799957000000001,9.664322
2018-12-13,04:28:06.833,0.35073853,1.5039368,9.657135
